date,ticker,net_flow_usd,source
2025-04-14,BTCW,0.0,farside
2025-04-14,EZBC,0.0,farside
2025-04-14,GBTC,0.0,farside
2025-04-14,HODL,0.0,farside
2025-04-14,IBIT,36.7,farside
2025-04-15,ARKB,13.4,farside
2025-04-15,BITB,11.0,farside
2025-04-15,BRRR,0.0,farside
2025-04-15,BTCO,0.0,farside
2025-04-15,BTCW,0.0,farside
2025-04-15,EZBC,4.9,farside
2025-04-15,FBTC,0.0,farside
2025-04-15,GBTC,0.0,farside
2025-04-15,HODL,0.0,farside
2025-04-15,IBIT,38.2,farside
2025-04-16,BITB,12.8,farside
2025-04-16,BRRR,1.3,farside
2025-04-16,BTCO,6.7,farside
2025-04-16,BTCW,0.0,farside
2025-04-16,EZBC,0.0,farside
2025-04-16,GBTC,0.0,farside
2025-04-16,HODL,2.4,farside
2025-04-16,IBIT,30.6,farside
2025-04-17,ARKB,0.0,farside
2025-04-17,BITB,0.0,farside
2025-04-17,BRRR,0.0,farside
2025-04-17,BTCO,0.0,farside
2025-04-17,BTCW,0.0,farside
2025-04-17,EZBC,0.0,farside
2025-04-17,FBTC,25.9,farside
2025-04-17,GBTC,0.0,farside
2025-04-17,HODL,0.0,farside
2025-04-17,IBIT,81.0,farside
2025-04-21,ARKB,116.1,farside
2025-04-21,BITB,45.1,farside
2025-04-21,BRRR,6.1,farside
2025-04-21,BTCO,0.0,farside
2025-04-21,BTCW,0.0,farside
2025-04-21,EZBC,10.1,farside
2025-04-21,FBTC,87.6,farside
2025-04-21,GBTC,36.6,farside
2025-04-21,HODL,11.7,farside
2025-04-21,IBIT,41.6,farside
2025-04-22,ARKB,267.1,farside
2025-04-22,BITB,76.7,farside
2025-04-22,BRRR,23.8,farside
2025-04-22,BTCO,18.3,farside
2025-04-22,BTCW,0.0,farside
2025-04-22,EZBC,10.6,farside
2025-04-22,FBTC,253.8,farside
2025-04-22,GBTC,65.1,farside
2025-04-22,HODL,6.5,farside
2025-04-22,IBIT,193.5,farside
2025-04-23,ARKB,129.5,farside
2025-04-23,BRRR,0.0,farside
2025-04-23,BTCO,0.0,farside
2025-04-23,BTCW,0.0,farside
2025-04-23,EZBC,0.0,farside
2025-04-23,FBTC,124.4,farside
2025-04-23,GBTC,0.0,farside
2025-04-23,HODL,5.3,farside
2025-04-23,IBIT,643.2,farside
2025-04-24,ARKB,97.0,farside
2025-04-24,BITB,10.2,farside
2025-04-24,BRRR,0.0,farside
2025-04-24,BTCO,7.5,farside
2025-04-24,BTCW,0.0,farside
2025-04-24,EZBC,0.0,farside
2025-04-24,FBTC,0.0,farside
2025-04-24,GBTC,0.0,farside
2025-04-24,HODL,0.0,farside
2025-04-24,IBIT,327.3,farside
2025-04-25,ARKB,11.4,farside
2025-04-25,BITB,0.0,farside
2025-04-25,BRRR,0.0,farside
2025-04-25,BTCO,0.0,farside
2025-04-25,BTCW,0.0,farside
2025-04-25,EZBC,0.0,farside
2025-04-25,FBTC,108.0,farside
2025-04-25,HODL,8.1,farside
2025-04-25,IBIT,240.1,farside
2025-04-28,BRRR,0.0,farside
2025-04-28,BTCO,0.0,farside
2025-04-28,BTCW,0.0,farside
2025-04-28,EZBC,0.0,farside
2025-04-28,IBIT,970.9,farside
2025-04-29,BRRR,0.0,farside
2025-04-29,BTCO,0.0,farside
2025-04-29,BTCW,0.0,farside
2025-04-29,EZBC,0.0,farside
2025-04-29,GBTC,0.0,farside
2025-04-29,HODL,0.0,farside
2025-04-29,IBIT,216.7,farside
2025-04-30,BRRR,0.0,farside
2025-04-30,BTCO,0.0,farside
2025-04-30,BTCW,0.0,farside
2025-04-30,EZBC,0.0,farside
2025-04-30,HODL,0.0,farside
2025-04-30,IBIT,267.0,farside
2025-05-01,BITB,38.4,farside
2025-05-01,BRRR,0.0,farside
2025-05-01,BTCO,10.6,farside
2025-05-01,BTCW,0.0,farside
2025-05-01,EZBC,0.0,farside
2025-05-01,FBTC,29.5,farside
2025-05-01,GBTC,16.0,farside
2025-05-01,HODL,21.9,farside
2025-05-01,IBIT,351.4,farside
2025-05-02,ARKB,0.0,farside
2025-05-02,BITB,0.0,farside
2025-05-02,BRRR,0.0,farside
2025-05-02,BTCO,0.0,farside
2025-05-02,BTCW,0.0,farside
2025-05-02,EZBC,0.0,farside
2025-05-02,FBTC,0.0,farside
2025-05-02,GBTC,0.0,farside
2025-05-02,HODL,0.0,farside
2025-05-02,IBIT,674.9,farside
2025-05-05,BRRR,0.0,farside
2025-05-05,BTCO,0.0,farside
2025-05-05,BTCW,0.0,farside
2025-05-05,HODL,0.0,farside
2025-05-05,IBIT,531.2,farside
2025-05-06,BITB,0.0,farside
2025-05-06,BRRR,0.0,farside
2025-05-06,BTCO,0.0,farside
2025-05-06,BTCW,0.0,farside
2025-05-06,FBTC,0.0,farside
2025-05-06,IBIT,36.7,farside
2025-05-07,ARKB,54.7,farside
2025-05-07,BITB,10.5,farside
2025-05-07,BRRR,0.0,farside
2025-05-07,BTCO,0.0,farside
2025-05-07,BTCW,0.0,farside
2025-05-07,EZBC,0.0,farside
2025-05-07,FBTC,39.9,farside
2025-05-07,GBTC,0.0,farside
2025-05-07,HODL,0.0,farside
2025-05-07,IBIT,37.2,farside
2025-05-08,ARKB,13.1,farside
2025-05-08,BITB,0.0,farside
2025-05-08,BRRR,0.0,farside
2025-05-08,BTCO,0.0,farside
2025-05-08,BTCW,0.0,farside
2025-05-08,EZBC,0.0,farside
2025-05-08,FBTC,35.3,farside
2025-05-08,GBTC,0.0,farside
2025-05-08,HODL,0.0,farside
2025-05-08,IBIT,69.0,farside
2025-05-09,ARKB,0.0,farside
2025-05-09,BRRR,0.0,farside
2025-05-09,BTCO,0.0,farside
2025-05-09,BTCW,0.0,farside
2025-05-09,EZBC,0.0,farside
2025-05-09,FBTC,45.0,farside
2025-05-09,HODL,13.1,farside
2025-05-09,IBIT,356.2,farside
2025-05-12,ARKB,0.0,farside
2025-05-12,BRRR,0.0,farside
2025-05-12,BTCW,0.0,farside
2025-05-12,EZBC,0.0,farside
2025-05-12,HODL,0.0,farside
2025-05-12,IBIT,69.4,farside
2025-05-13,ARKB,0.0,farside
2025-05-13,BITB,0.0,farside
2025-05-13,BRRR,0.0,farside
2025-05-13,BTCO,0.0,farside
2025-05-13,BTCW,0.0,farside
2025-05-13,EZBC,0.0,farside
2025-05-13,GBTC,0.0,farside
2025-05-13,HODL,0.0,farside
2025-05-13,IBIT,0.0,farside
2025-05-14,ARKB,5.2,farside
2025-05-14,BITB,2.8,farside
2025-05-14,BRRR,0.0,farside
2025-05-14,BTCO,0.0,farside
2025-05-14,BTCW,0.0,farside
2025-05-14,EZBC,0.0,farside
2025-05-14,FBTC,36.1,farside
2025-05-14,GBTC,0.0,farside
2025-05-14,HODL,7.3,farside
2025-05-14,IBIT,232.9,farside
2025-05-15,BITB,0.0,farside
2025-05-15,BRRR,0.0,farside
2025-05-15,BTCO,0.0,farside
2025-05-15,BTCW,0.0,farside
2025-05-15,EZBC,0.0,farside
2025-05-15,HODL,0.0,farside
2025-05-15,IBIT,409.7,farside
2025-05-16,ARKB,58.0,farside
2025-05-16,BITB,0.0,farside
2025-05-16,BRRR,0.0,farside
2025-05-16,BTCO,0.0,farside
2025-05-16,BTCW,0.0,farside
2025-05-16,EZBC,0.0,farside
2025-05-16,FBTC,67.9,farside
2025-05-16,GBTC,0.0,farside
2025-05-16,HODL,0.0,farside
2025-05-16,IBIT,129.7,farside
2025-05-19,ARKB,155.3,farside
2025-05-19,BITB,16.0,farside
2025-05-19,BRRR,0.0,farside
2025-05-19,BTCW,0.0,farside
2025-05-19,EZBC,0.0,farside
2025-05-19,FBTC,188.1,farside
2025-05-19,GBTC,0.0,farside
2025-05-19,HODL,7.4,farside
2025-05-19,IBIT,305.9,farside
2025-05-20,ARKB,6.4,farside
2025-05-20,BITB,5.8,farside
2025-05-20,BRRR,0.0,farside
2025-05-20,BTCO,0.0,farside
2025-05-20,BTCW,0.0,farside
2025-05-20,EZBC,0.0,farside
2025-05-20,FBTC,23.3,farside
2025-05-20,GBTC,0.0,farside
2025-05-20,HODL,0.0,farside
2025-05-20,IBIT,287.5,farside
2025-05-21,ARKB,4.3,farside
2025-05-21,BITB,20.5,farside
2025-05-21,BRRR,0.0,farside
2025-05-21,BTCO,0.0,farside
2025-05-21,BTCW,0.0,farside
2025-05-21,EZBC,0.0,farside
2025-05-21,FBTC,23.5,farside
2025-05-21,GBTC,0.0,farside
2025-05-21,HODL,6.1,farside
2025-05-21,IBIT,530.6,farside
2025-05-22,ARKB,8.9,farside
2025-05-22,BITB,0.0,farside
2025-05-22,BRRR,0.0,farside
2025-05-22,BTCO,0.0,farside
2025-05-22,BTCW,0.0,farside
2025-05-22,EZBC,0.0,farside
2025-05-22,FBTC,48.7,farside
2025-05-22,GBTC,0.0,farside
2025-05-22,HODL,0.0,farside
2025-05-22,IBIT,877.2,farside
2025-05-23,BITB,0.0,farside
2025-05-23,BRRR,0.0,farside
2025-05-23,BTCO,0.0,farside
2025-05-23,BTCW,0.0,farside
2025-05-23,EZBC,0.0,farside
2025-05-23,HODL,17.7,farside
2025-05-23,IBIT,430.8,farside
2025-05-27,BITB,1.8,farside
2025-05-27,BRRR,0.5,farside
2025-05-27,BTCO,0.0,farside
2025-05-27,BTCW,0.0,farside
2025-05-27,EZBC,0.0,farside
2025-05-27,HODL,7.8,farside
2025-05-27,IBIT,409.3,farside
2025-05-28,BITB,0.0,farside
2025-05-28,BRRR,0.0,farside
2025-05-28,BTCO,0.0,farside
2025-05-28,BTCW,0.0,farside
2025-05-28,EZBC,0.0,farside
2025-05-28,GBTC,0.0,farside
2025-05-28,HODL,0.0,farside
2025-05-28,IBIT,481.0,farside
2025-05-29,BRRR,0.0,farside
2025-05-29,BTCW,0.0,farside
2025-05-29,IBIT,125.1,farside
2025-05-30,BRRR,0.0,farside
2025-05-30,BTCO,0.0,farside
2025-05-30,BTCW,0.0,farside
2025-05-30,EZBC,0.0,farside
2025-05-30,GBTC,0.0,farside
2025-05-30,HODL,0.0,farside
2025-06-02,BITB,3.4,farside
2025-06-02,BRRR,0.0,farside
2025-06-02,BTCO,0.0,farside
2025-06-02,BTCW,0.0,farside
2025-06-02,EZBC,0.0,farside
2025-06-02,HODL,0.0,farside
2025-06-03,ARKB,139.9,farside
2025-06-03,BITB,14.5,farside
2025-06-03,BRRR,0.0,farside
2025-06-03,BTCO,0.0,farside
2025-06-03,BTCW,0.0,farside
2025-06-03,EZBC,0.0,farside
2025-06-03,FBTC,136.8,farside
2025-06-03,GBTC,0.0,farside
2025-06-03,HODL,18.8,farside
2025-06-03,IBIT,58.0,farside
2025-06-04,ARKB,0.0,farside
2025-06-04,BITB,0.0,farside
2025-06-04,BRRR,0.0,farside
2025-06-04,BTCO,0.0,farside
2025-06-04,BTCW,0.0,farside
2025-06-04,EZBC,0.0,farside
2025-06-04,GBTC,0.0,farside
2025-06-04,HODL,0.0,farside
2025-06-04,IBIT,284.0,farside
2025-06-05,BRRR,0.0,farside
2025-06-05,BTCW,0.0,farside
2025-06-05,EZBC,0.0,farside
2025-06-05,IBIT,0.0,farside
2025-06-06,ARKB,11.5,farside
2025-06-06,BITB,31.8,farside
2025-06-06,BRRR,0.0,farside
