date,btc_open_intraday,btc_close_intraday,btc_close_et,btc_prev_close_et,ret_close_close,ret_intraday,ret_overnight,rv_intraday,rv_overnight
2024-02-15,52453.62,51627.1,51627.1,51620.51,0.00012765428679547885,-0.015882622153181526,0.016010276439977003,0.00024981476538740466,0.000331054612954246
2024-02-16,52178.7,51838.04,51838.04,51627.1,0.004077514267306837,-0.006550122950888908,0.010627637218195745,0.00017784904886619,0.0002165735301957757
2024-02-17,51185.01,51536.88,51536.88,51838.04,-0.005826574801810783,0.006850952144016229,-0.012677526945827012,0.00013903890661266306,0.00018652436813647208
2024-02-18,51687.99,51796.27,51796.27,51536.88,0.00502047106528072,0.002092686163406774,0.0029277849018739463,4.948889937504438e-05,0.0001982069387036768
2024-02-19,52081.09,51780.01,51780.01,51796.27,-0.000313971502617575,-0.005797759572644279,0.005483788070026704,0.00010290162977919235,0.00021648924462513254
2024-02-20,52254.0,51993.99,51993.99,51780.01,0.004123967530691616,-0.0049883079598344,0.009112275490526015,0.00029866568717434937,0.0003326143843417722
2024-02-21,50978.0,51006.37,51006.37,51993.99,-0.019177608093313515,0.0005563597781070902,-0.019733967871420607,0.00018585978676278713,0.00038205798816866874
2024-02-22,51092.31,51911.11,51911.11,51006.37,0.017582305888178367,0.01589883612546133,0.0016834697627170388,0.00016906911078502486,0.0003045081248591791
2024-02-23,51293.42,51088.39,51088.39,51911.11,-0.01597556294377284,-0.004005209012923782,-0.011970353930849057,0.0001507449229655806,0.00017878113613294252
2024-02-24,51133.77,51489.15,51489.15,51088.39,0.00781383603205773,0.006925965868071158,0.0008878701639865724,5.174566765327114e-05,8.675547563904946e-05
2024-02-25,51625.01,51753.1,51753.1,51489.15,0.005113227871012023,0.0024780887472064623,0.0026351391238055603,6.358571836136574e-05,8.234536776825111e-05
2024-02-26,51400.0,54388.61,54388.61,51753.1,0.049670423206906664,0.05651658447877213,-0.006846161271865464,0.0005245073492006337,0.0005560529641792688
2024-02-27,56858.33,56897.46,56897.46,54388.61,0.045095943477206725,0.0006879650089605165,0.044407978468246206,0.00035806659315913757,0.00044218032313166083
2024-02-28,60121.12,60357.98,60357.98,56897.46,0.05904246705111702,0.003931973349115923,0.0551104937020011,0.0037239678617341956,0.001250478882743104
2024-02-29,63229.99,61822.14,61822.14,60357.98,0.02396838526553591,-0.022517161183982427,0.04648554644951834,0.000706691728783339,0.0010820621687472744
2024-03-01,62402.11,62610.0,62610.0,61822.14,0.01266345702346777,0.0033259208509569325,0.009337536172510838,0.000356199999482792,0.0004898180941380519
2024-03-02,61792.08,61905.58,61905.58,62610.0,-0.011314688733721002,0.0018351201122560534,-0.013149808845977055,7.026601835047932e-05,0.00020370386707355001
2024-03-03,62372.62,62768.81,62768.81,61905.58,0.013847973025231478,0.006331897017642752,0.007516076007588726,0.00010493730008662799,0.0010424447861957723
2024-03-04,65515.15,67397.96,67397.96,62768.81,0.07115645634916046,0.028333336791951495,0.042823119557208966,0.0006120279552892537,0.0010470435823276554
2024-03-05,67653.99,61917.85,61917.85,67397.96,-0.08480624394147099,-0.08859782646546951,0.003791582523998527,0.003452319610798387,0.0018078249591295475
2024-03-06,66983.19,66830.0,66830.0,61917.85,0.07634357506655956,-0.002289610866052171,0.07863318593261173,0.0007178008484256315,0.001559392469626905
2024-03-07,67239.99,67480.35,67480.35,66830.0,0.0096843628633295,0.0035682845669037654,0.006116078296425735,0.0005589117942498137,0.00043761539424176443
2024-03-08,68073.0,69041.09,69041.09,67480.35,0.022865390213250725,0.014121175832316611,0.008744214380934114,0.0014020525554803087,0.00033207344308661227
2024-03-09,68284.14,68292.28,68292.28,69041.09,-0.010905105157976784,0.00011920066450189341,-0.011024305822478677,3.8097421938663585e-05,0.00024742029696220953
2024-03-10,69593.98,69388.04,69388.04,68292.28,0.01591778892596755,-0.002963550979106869,0.018881339905074422,0.00013096267424733232,0.0004779611077495146
2024-03-11,72164.8,71962.71,71962.71,69388.04,0.03643354981667586,-0.0028043242048687786,0.03923787402154464,0.00032108830420619113,0.0007090014298884588
2024-03-12,72308.0,71310.09,71310.09,71962.71,-0.009110236049732084,-0.013896940978114334,0.0047867049283822505,0.001030577387189822,0.0005183576318037721
2024-03-13,72741.94,73250.98,73250.98,71310.09,0.026853794512777574,0.006973517111383439,0.019880277401394135,0.00033266971898004787,0.00033431347532822376
2024-03-14,72592.0,69605.04,69605.04,73250.98,-0.051054648135546006,-0.0420177444098829,-0.009036903725663105,0.0011325208898879317,0.0015482041202366458
2024-03-15,67494.41,68885.96,68885.96,69605.04,-0.010384594841675726,0.020407604035716193,-0.03079219887739192,0.0007377753360384217,0.0020340397039670106
2024-03-16,68131.52,67000.0,67000.0,68885.96,-0.02775976427908345,-0.016747335434893092,-0.011012428844190358,0.0004307240037221093,0.0011424304099374215
2024-03-17,67000.0,68476.32,68476.32,67000.0,0.021795372680808524,0.021795372680808524,0.0,0.00022935898536378838,0.0008892864779453885
2024-03-18,68043.15,67066.58,67066.58,68476.32,-0.020802134761655936,-0.0144562054421981,-0.006345929319457835,0.00047665366722553226,0.0008296454076073124
2024-03-19,63605.64,64461.1,64461.1,67066.58,-0.03962391622201333,0.01335979542851774,-0.052983711650531076,0.0006895177278012816,0.002318474869275183
2024-03-20,63355.82,65672.54,65672.54,64461.1,0.018618936606475255,0.03591410458689523,-0.017295167980419975,0.0010701164448245083,0.0014926186547604805
2024-03-21,67391.99,65094.26,65094.26,65672.54,-0.008844504410450893,-0.03468979484180456,0.025845290431353668,0.0005565852191617559,0.0008807577619866769
2024-03-22,64090.01,63922.71,63922.71,65094.26,-0.018161675978894745,-0.0026138042414702834,-0.015547871737424461,0.000667497658417889,0.000867578302289981
2024-03-23,64513.99,64943.47,64943.47,63922.71,0.015842501880943445,0.006635099678881476,0.009207402202061968,0.00026979481070391786,0.00041815700533361116
2024-03-24,65454.0,65802.06,65802.06,64943.47,0.013133945645920814,0.005303538988424523,0.007830406657496292,0.00027311553590862096,0.0005556500869718539
2024-03-25,67028.21,71091.6,71091.6,65802.06,0.07731804153769199,0.05885561081718465,0.018462430720507343,0.000542586270028436,0.00046920857099848703
